duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,label
13.315945444485154,udp,dns,SF,2359,4108,0,0,0,1,0,1,0,0,0,0,2,0,0,96,20,0.09920935208739105,1.7967453461942284e-05,0.05843756692758498,0.07274352722501146,0.8415054998496014,0.04066063743794615,0.07767941519447295,normal
0.0,tcp,http,S0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588,313,0.8308556244191032,0.8364105804453235,0.0,0.0,0.9098928281374729,0.08724495910010824,0.9314220471266128,attack
20.354925040980607,tcp,http,SF,2907,164,0,0,0,2,0,1,0,0,0,0,1,0,0,51,26,0.0881682842494442,0.04285965745117673,0.022750518257979215,0.0820690208592026,0.84769099729678,0.18912910623807846,0.1657932014163208,normal
0.0,tcp,private,RSTR,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,285,203,0.9625593677124369,0.986105808919094,0.0,0.0,0.9329293517028113,0.05266577056218163,0.0,attack
7.263906829179556,tcp,dns,S0,4266,1818,0,0,0,2,0,1,0,0,0,0,0,0,1,12,36,0.0003607486689055195,0.08624863561005343,0.05039929956267672,0.08417679070736761,0.8649989730559212,0.03307537510720946,0.021197206403316172,normal
9.665340159979861,udp,http,SF,3071,2647,0,0,0,0,0,1,0,0,0,0,1,0,0,45,21,0.03143557295068352,0.0031250504937858415,0.0830302672137299,0.05031107294071421,0.9583395975752773,0.02210330786705437,0.19365806474671987,normal
8.399368046280177,udp,ftp,SF,2663,4476,0,0,0,0,0,1,0,0,0,0,2,0,0,23,32,0.0795901459919749,0.09289040647360441,0.09508043017869588,0.012484402928884641,0.8874582631219478,0.14858408737993534,0.07853306360551088,normal
0.0,icmp,private,REJ,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,2,0.5966460082453278,0.29413958622122666,0.7047185204968368,0.0,0.06292939779811409,0.9291527797435942,0.002384205995516708,attack
2.8457614716567896,tcp,smtp,S0,1115,2567,0,0,0,1,0,1,0,0,0,0,2,0,1,19,62,0.0034203155585201817,0.017463504134319408,0.04112939189951668,0.0043107083739481805,0.8173746509323053,0.057004157452948956,0.02685973274865752,normal
0.0,tcp,private,RSTR,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,352,351,0.9193466765305787,0.937000641134797,0.0,0.0,0.9993818367133722,0.007401284075013459,0.0,attack
